Year,CPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,12012.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,10526.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9980.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9860.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9761.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
2016,9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,9702.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9840.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,9702.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,9273.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8537.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,7656.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7191.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,7208.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6115.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6068.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,6052.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6099.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,6177.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6209.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6130.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,6130.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,6642.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,6225.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,6130.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,6006.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,5299.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
