Year,CPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11384.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,10322.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
2020,9980.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9940.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9900.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,9920.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,10140.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,10363.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,10040.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,9525.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8537.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,7796.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7430.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,7123.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6130.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,5898.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,5685.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5550.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,5299.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5212.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5083.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,4914.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4872.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,4583.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,4435.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,4290.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,4083.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
