Year,CPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11642.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,10383.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9980.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9900.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,9820.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
2016,9741.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,9820.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,9880.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,9662.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,9216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8408.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,7621.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,7225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,7106.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6256.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6006.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,5882.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5821.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,5640.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5580.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5610.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5565.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,5416.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,5372.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,5358.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,5169.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,5012.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,4830.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,4596.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
